날짜,스트레스,취업
2022-10-21,34.69387,29.59183
2022-10-22,13.2653,23.46938
2022-10-23,26.53061,27.55102
2022-10-24,34.69387,39.79591
2022-10-25,26.53061,45.91836
2022-10-26,22.44897,34.69387
2022-10-27,44.89795,29.59183
2022-10-28,21.42857,33.67346
2022-10-29,19.38775,15.30612
2022-10-30,22.44897,17.34693
2022-10-31,23.46938,43.87755
2022-11-01,26.53061,43.87755
2022-11-02,20.40816,35.71428
2022-11-03,29.59183,30.61224
2022-11-04,22.44897,33.67346
2022-11-05,18.36734,16.32653
2022-11-06,13.2653,20.40816
2022-11-07,46.93877,31.63265
2022-11-08,32.65306,47.95918
2022-11-09,27.55102,50.0
2022-11-10,35.71428,37.7551
2022-11-11,21.42857,34.69387
2022-11-12,26.53061,19.38775
2022-11-13,13.2653,17.34693
2022-11-14,33.67346,36.73469
2022-11-15,28.57142,50.0
2022-11-16,20.40816,46.93877
2022-11-17,19.38775,29.59183
2022-11-18,22.44897,43.87755
2022-11-19,23.46938,16.32653
2022-11-20,15.30612,26.53061
2022-11-21,29.59183,36.73469
2022-11-22,35.71428,29.59183
2022-11-23,19.38775,27.55102
2022-11-24,30.61224,25.5102
2022-11-25,24.48979,17.34693
2022-11-26,21.42857,22.44897
2022-11-27,15.30612,23.46938
2022-11-28,32.65306,50.0
2022-11-29,21.42857,30.61224
2022-11-30,21.42857,26.53061
